"%s was added to your shopping cart.","%s bol úspešne pridaný do vášho nákupného košíka."
"%s was updated in your shopping cart.","%s bol úspešne pridaný do vášho nákupného košíka."
"* Required Fields","* Povinne vyplnené polia"
"Add New Address","Pridať novú adresu"
"Add New Condition","Pridať nové pravidlo"
"Add coupon code for shopping cart","Pridať kód kupónu pre nákupní košík"
"Add gift messages to shopping cart","Pridať darčekovú správu ku košíku"
"Add product to shopping cart","Pridať produkt do košíka"
"Add product(s) to shopping cart","Pridať produkt(y) do košíka"
"Add to Cart","Pridať do košíka"
"Add to Compare","Pridať k porovnaniu"
"Add to Wishlist","Pridať do zoznamu prianí"
"Additional Product Info","Ďalšie informácie o produkte"
"Address","Adresa"
"Address %s of %s","Adresy %s z %s"
"After Adding a Product Redirect to Shopping Cart","Po pridaní produktu presmerovať do Nákupného košíka"
"Allow Guest Checkout","Povoliť nákup neregistrovaným užívateľom"
"Already registered?","Ste už zaregistrovaný?"
"An error occurred in the process of payment","Vyskytla se chyba pri spracovaní platby"
"An error occurred while deleting this condition.","Chyba pri mazaní podmienky."
"An error occurred while saving this condition.","Chyba pri ukladaní podmienky."
"Apply Coupon","Použiť kupón"
"Are you sure you would like to remove this item from the shopping cart?","Naozaj chcete túto položku odstrániť z nákupného košíka?"
"Back","Späť"
"Back to Billing Information","Späť k fakturačným informáciám"
"Back to Select Addresses","Späť na výber adries"
"Back to Shipping Information","Späť na dodacie informácie"
"Back to Shopping Cart","Späť do košíku"
"Based on your selection, you may be interested in the following items:","Vychádzajúc z vašeho výberu, mohli by vás zaujímať nasledovné položky:"
"Billing Address","Fakturačná adresa"
"Billing Information","Fakturačné údaje"
"Billing Information - %s","Fakturačné údaje - %s"
"Cancel Coupon","Zrušiť kupón"
"Cannot add item to the shopping cart.","Položku nie je možné pridať do košíka."
"Cannot add the item to shopping cart","Položku nie je možné pridať do košíka"
"Cannot add the item to shopping cart.","Položku nie je možné pridať do košíka."
"Cannot apply the coupon code.","Nemožno použiť kód kupónu."
"Cannot configure product.","Nie je možné upraviť produkt."
"Cannot open the overview page","Nemožno otvoriť stránky s celkovým prehľadom"
"Cannot process the item.","Nie je možné spracovať položku."
"Cannot remove the item.","Nie je možné odstrániť položku."
"Cannot update shopping cart.","Nie je možné aktualizovať nákupný košík."
"Cannot update the item.","Nie je možné aktualizovať položku."
"Card Verification Number Visual Reference","Overovacie číslo karty"
"Cart Product API","Cart Product API"
"Cart Subtotal:","Celkom v košíku:"
"Shopping:","Nákup:"
"Change","Zmeniť"
"Change Billing Address","Zmeniť fakturačnú adresu"
"Checkbox Text","Text zaškrtávacieho poľa"
"Checkout","Objednať"
"Checkout Conditions","Pravidlá platieb"
"Checkout Method","Platebná metóda"
"Checkout Options","Možnosti platby"
"Checkout Progress Wrapper","Postup platby"
"Checkout Section","Platby"
"Checkout Terms and Conditions","Podmienky platby"
"Checkout as Guest","Zaplatit ako hosť"
"Checkout as a Guest or Register","Objednať ako hosť alebo sa registrovať"
"Checkout with Multiple Addresses","Zaplatiť s viacerými adresami"
"City","Mesto"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Kliknite <a href=""%s"" onclick=""this.target='_blank'"">TU pre vytlačenie</a> kópie potvrdenia Vašej objednávky."
"Click <a href=""%s"">here</a> to continue shopping.","Kliknite <a href=""%s"">tu</a> pre pokračovanie v nákupe."
"Close","Zavrieť"
"Company","Firma"
"Condition Name","Meno podmienky"
"Configurable Product Image","Obrázok nastavitelného produktu"
"Configure Cart Item","Nastaviť položku košíka"
"Confirm Password","Potvrdiť heslo"
"Content","Obsah"
"Content Height","Výška obsahu"
"Content Height (css)","Výška obsahu (css)"
"Continue","Pokračovať"
"Continue Shopping","Pokračovať v nákupe"
"Continue to Billing Information","Pokračovať k platobným údajom"
"Continue to Review Your Order","Pokračovať ku kontrole objednávky"
"Continue to Shipping Information","Pokračovať k dodacím údajom"
"Country","Krajina"
"Coupon code ""%s"" is not valid.","Kód kupónu ""%s"" nie je platný."
"Coupon code ""%s"" was applied.","Kód kupónu ""%s"" bol úspešne aplikovaný."
"Coupon code was canceled.","Kód kupónu bol úspešne zrušený."
"Create Billing Address","Vytvoriť fakturačnú adresu"
"Create Shipping Address","Vytvoriť dodaciu adresu"
"Create an order from shopping cart","Vytvoriť objednávku z nákupného košíka"
"Create shopping cart","Vytvoriť nákupný košík"
"Customer Information","Informácie o zákazníkovi"
"Customer's information","Informácie o zákazníkoch"
"Data saving problem","Chyba pri ukladaní dát"
"Default Billing","Predvolená platba"
"Default Shipping","Predvolené doručenie"
"Delete Condition","Zmazať pravidlo"
"Details","Detaily"
"Disabled","Neaktívne"
"Discount Codes","Kódy zliav"
"Display Cart Summary","Zobraziť súčet košíka"
"Display Shopping Cart Sidebar","Zobraziť postrannú lištu košíka"
"Display item quantities","Zobraziť počet položiek"
"Display number of items in cart","Zobraziť počet položiek v košíku"
"Display number of items in wishlist","Zobraziť počet položiek v zozname želaní"
"Easy access to your order history and status","Jednoduchý prístup k histórii a stavu Vašich objednávok"
"Edit","Upraviť"
"Edit Address","Upraviť adresu"
"Edit Billing Address","Upraviť fakturačnú adresu"
"Edit Items","Upraviť položky"
"Edit Shipping Address","Upraviť dodaciu adresu"
"Edit Terms and Conditions","Upraviť pravidlá a podmienky"
"Edit Your Cart","Upraviť váš košík"
"Edit item","Upraviť položku"
"Edit item parameters","Upraviť vlastnosti položky"
"Email Address","E-mailová adresa"
"Enable Onepage Checkout","Povoliť jednostránkové platby"
"Enable Terms and Conditions","Zapnúť pravidlá a podmienky"
"Enabled","Aktívny"
"Enter a New Address","Zadajte novú adresu"
"Enter your coupon code if you have one.","Ak máte, zadajte kód kupónu."
"Enter your destination to get a shipping estimate.","Zadajte miesto doručenia pre získanie odhadu doby dodávky."
"Estimate Shipping and Tax","Odhadnúť cenu prepravy a daň"
"Excl. Tax","Bez dane"
"Fast and easy check out","Rýchle a jednoduché dokončenie objednávky"
"Fax","Fax"
"Forgot an Item?","Zabudli ste nejakú položku?"
"Forgot your password?","Zabudli ste vaše heslo?"
"Get a Quote","Vyžiadať cenovú ponuku"
"Get list of available payment methods","Získať zoznam dostupných platobných metód"
"Get list of available shipping methods","Získať zoznam dostupných dodacích metód"
"Get list of products in shopping cart","Zobraziť zoznam produktov v košíku"
"Get terms and conditions","Získať pravidlá a podmienky"
"Get total prices for shopping cart","Celková suma v košíku"
"Gift Message","Priania"
"Grand Total:","Celkom:"
"Grouped Product Image","Obrázok skupiny produktov"
"HTML","HTML"
"ID","ID"
"Incl. Tax","S daňou"
"Invalid method: %s","Neplatná metóda: %s"
"Item not found or already ordered","Položka nenájdená alebo už objednaná"
"Items","Položky"
"Items After","Položky po"
