"# of Uses","počet použití"
"<strong>Tag Name:</strong> %s","<strong>Meno štítku:</strong> %s"
"Action","Akcia"
"Add New Tag","Pridať nový štítok"
"Add Tags","Pridať štítky"
"Add Your Tags:","Pridať Vaše štítky:"
"Add to Cart","Vložiť do košíka"
"Add to Wishlist","Pridať do Zoznamu prianí"
"All Tags","Všetky štítky"
"Approved","Schválený"
"Are you sure you want to delete this tag?","Naozaj chcete zmazať tento štítok?"
"Are you sure you want to do this?","Naozaj chcete toto urobiť?"
"Are you sure?","Ste si istý?"
"Back","Späť"
"Back to Tags List","Späť k zoznamu štítkov"
"Base Popularity","Obľuba"
"Block Information","Informácie o bloku"
"CSV","CSV"
"Catalog Product View","Zobraziť produkty"
"Change status","Zmeniť stav"
"Click on a tag to view your corresponding products.","Kliknutím na štítok zobrazíte zodpovedajúce produkty."
"Country","Krajina"
"Customer My Account My Tags List","Zoznam mojich štítkov"
"Customer My Account Tag View","Zobraziť štítky"
"Customer Since","Zákazníkom od"
"Customers","Zákazníci"
"Customers Submitted this Tag","Zákazníci, ktorí odoslali tento štítok"
"Customers Tagged '%s'","Štítky od zákazníkov '%s'"
"Delete","Zmazať"
"Delete Tag","Zmazať štítok"
"Disabled","Zakázané"
"Edit Tag '%s'","Upraviť štítok '%s'"
"Email","E-mail"
"First Name","Meno"
"General Information","Všeobecné informácie"
"Grid","Mriežka"
"ID","ID"
"Last Name","Priezvisko"
"List","Zoznam"
"Manage Tags","Spravovať štítky"
"My Recent Tags","Moje posledné štítky"
"My Tags","Moje štítky"
"Name","Meno"
"New Tag","Nový štítok"
"No matches found.","Nebol nájdený žiadny záznam."
"Other people marked this product with these tags:","Ostatné označili tento produkt nasledujúcimi štítkami:"
"Pending","Čakajúci"
"Pending Tags","Čakajúce štítky"
"Popular","Obľúbené"
"Popular Tags","Obľúbené štítky"
"Price","Cena"
"Product Name","Názov produktu"
"Product SKU","Kód produktu(SKU)"
"Product Tags","Štítky produktu"
"Products","Produkty"
"Products Tagged by Administrators","Produkty oštítkované Administrátormi"
"Products Tagged by Customers","Produkty oštítkované zákazníkmi"
"Products Tagged with '%s'","Produkty oštítkované s '%s'"
"Products tagged with '%s'","Produkty oštítkované s '%s'"
"Rebuild Tag aggregation data","Rebuildovať štítok - agregovanie údajov"
"SKU","Kód(SKU)"
"Save Tag","Uložiť štítok"
"Save and Continue Edit","Uložiť a pokračovať v úpravách"
"Status","Stav"
"Store View","Zobrazenie obchodu"
"Tag","Štítok"
"Tag ""%s"" has already been added to the product.","Štítok ""%s"" bol už pridaný k produktu."
"Tag ""%s"" has been added to the product.","Štítok ""%s"" bol pridaný k produktu."
"Tag ""%s"" has been rejected by administrator.","Štítok ""%s"" bol zamietnutý administrátorom."
"Tag Aggregation Data","Štítok agregovaných údajov"
"Tag Name","Meno štítku"
"Tagged Products List","Zoznam oštítkovaných produktov"
"Tags","Štítky"
"Tags List (All Available)","Zoznam štítkov (všetky dostupné)"
"Tags List Before",""
"Tags:","Štítky:"
"Telephone","Telefón"
"The tag has been deleted.","Štítok bol zmazaný."
"There are no tags available.","Štítky nie sú k dispozícii."
"Unable to find any products tagged with '%s' in the current store","Nanašiel sa žiaden produkt označený štítkom '%s' v tomto obchode"
"Unable to remove tag. Please, try again later.","Nie je možné odstrániť štítok. Prosím, skúste to neskôr."
"Unable to save tag(s).","Nie je možné uložiť štítky."
"Use spaces to separate tags. Use single quotes (') for phrases.","Pre oddelenie štítkov použite čiarky. Viacslovné frázy ohraničte apostrofmi (')."
"View All Tags","Zobraziť všetky štítky"
"View Customers","Zobraziť zákazníkov"
"View Products","Zobraziť produkty"
"XML","XML"
"You have not tagged any products yet.","Doposiaľ ste k žiadnemu z produktov nepriradili žiaden štítok."
"ZIP/Post Code","PSČ"
"%s tag(s) have been accepted for moderation.","Ďakujeme. Váš štítok (%s) bol prijatý na schválenie."
