"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d pravidla katalógových cien založených na vlastnosti ""%s"" sú vypnuté."
"Actions","Udalosti"
"Active","Aktívny"
"Add New Rule","Pridať nové pravidlo"
"An error occurred while deleting the rule. Please review the log and try again.","Chyba pri mazaní pravidlá. Prosím prezrite si logy a skúste to znova."
"An error occurred while saving the rule data. Please review the log and try again.","Chyba pri ukladaní pravidlá. Prosím prezrite si logy a skúste to znova."
"Apply Rules","Použiť pravidlá"
"Attribute Set","Sada vlastností"
"Catalog","Katalóg"
"Catalog Price Rule","Pravidlo katalógových cien"
"Catalog Price Rules","Pravidlá katalógových cien"
"Category","Kategória"
"Conditions","Podmienky"
"Conditions (leave blank for all products)","Podmienky (ponechajte prázdne pre všetky produkty)"
"Conditions Combination","Kombinácia podmienok"
"Customer Groups","Zákaznicke skupiny"
"Customer Registered: %s","Zákazník registrovaný: %s"
"Customer is a New Buyer: %s","Zákazník je nový nakupujúci: %s"
"Date Expire","Dátum vypršania"
"Date From","Dátum od"
"Date Start","Dátum začiatku"
"Date To","Dátum do"
"Delete Rule","Zmazať pravidlo"
"Description","Popis"
"Description: %s","Popis: %s"
"Edit Rule","Upraviť pravidlo"
"Edit Rule '%s'","Upraviť pravidlo '%s'"
"Expire at: %s","Vyprší: %s"
"From Date","Od dátumu"
"General Information","Všeobecné informácie"
"ID","ID"
"Inactive","Neaktívne"
"NOT LOGGED IN","NEPRIHLÁSENÝ"
"Name: %s","Názov: %s"
"New Rule","Nové pravidlo"
"No","Nie"
"Options","Možnosti"
"Priority","Priorita"
"Product Attribute","Vlastnosť produktu"
"Promotions","Propagácie"
"Rule Information","Informácie o pravidle"
"Rule Name","Názov pravidla"
"Save Rule","Uložiť pravidlo"
"Save and Apply","Uložiť a použiť"
"Save and Continue Edit","Uložiť a pokračovať v úpravách"
"Start at: %s","Začnite na: %s"
"Status","Stav"
"Stop Further Rules Processing","Zastaviť spracovane ďalších pravidiel"
"The rule has been deleted.","Pravidlo bolo úspešne odstránené."
"The rule has been saved.","Pravidlo bolo úspešne uložené."
"The rules have been applied.","Pravidlá boli úspešne použité."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Tu sú pravidlá ktoré boli zmenené, ale nepoužité. Pre okamžitý efekt v katalógu, kliknite na Použiť pravidlá."
"This rule no longer exists.","Toto pravidlo už neexistuje."
"To Date","Do dátumu"
"Unable to apply rules.","Nie je možné použiť pravidlá."
"Unable to find a rule to delete.","Nenájdené pravidlo k zmazaniu."
"Update product's %s %s: %s","Aktualizovať produktové %s %s: %s"
"Websites","Webstránky"
"Wrong rule specified.","Zle vybrané pravidlo."
"Yes","Áno"
