"--Please Select--","--Prosím vyberte--"
"API Login ID","API ID prihlásenie"
"Accepted Currency","Akceptovane meny"
"Authorize.net Direct Post","Authorize.net Direct Post"
"Card Verification Number","Card Verification Number (CCV)"
"Card Verification Number Visual Reference","Overovacie číslo karty"
"Close","Zatvoriť"
"Credit Card Information","Informácie o platobnej karte"
"Credit Card Number","Číslo kreditnej karty"
"Credit Card Type","Typ kreditnej karty"
"Credit Card Types","Typy kreditných kariet"
"Credit Card Verification","Overenie kreditnej karty"
"Debug","Ladenie"
"Email Customer","Email zákazníka"
"Enabled","Povolené"
"Expiration Date","Koniec platnosti"
"Gateway URL","URL brány"
"Maximum Order Total","Maximálna čiastka objednávky"
"Merchant MD5","Obchodník MD5"
"Merchant's Email","Email obchodníka"
"Minimum Order Total","Minimálna suma objednávky"
"New Order Status","Novy stav objednávky"
"Order saving error: %s","Chyba pri ukladaní objednávky: %s"
"Payment Action","Platobná akcia"
"Payment authorization error.","Chyba pri autorizácii platby."
"Payment authorization error. Transacion id is empty.","Chyba pri autorizácii platby. ID transakcie je prázdne."
"Payment error. Order was not found.","Chyba platby. Objednávka nebola nájdená."
"Payment error. Paid amount doesn't match the order amount.","Chyba platby. Suma platby neodpovedá sume objednávky."
"Payment from Applicable Countries","Platby z povolených zemi"
"Payment from Specific Countries","Platby z vybraných zemí"
"Please, choose payment method","Vyberte spôsob platby"
"Response hash validation failed. Transaction declined.","Overenie odpovede zlyhalo. Platba bola zamietnutá."
"Sort Order","Poradie"
"Test Mode","Testovací režim"
"The order has been created.","Objednávka bola vytvorená."
"There was an error processing your order. Please contact us or try again later.","Nastala chyba počas spracovania Vašej objednávky. Prosím skúste to neskôr, alebo nás kontaktujte."
"Title","Nadpis"
"Transaction Key","Kľúč transakcie"
"What is this?","Čo je to?"
"You will be required to enter your payment details before you place an order.","Budú vyžiadané detaily o platbe pred odoslaním objednávky."
