"Czech Invoice","Slovenská faktúra"
"Taxable supply days","Vznik daň. povinnosti - počet dní"
"Maturity days","Splatnost dní"
"INVOICE","FAKTÚRA - daňový doklad"
"Supplier:","Dodávateľ:"
"SOLD TO:","Odberateľ:"
"SHIP TO:","Adresa dodania:"
"Order # ","Objednávka č. "
"Subtotal","Cena celkom"
"PUVODNI Subtotal","Cena s DPH"
"VAT","DPH"
"VAT %","DPH %"
"Order Date: ","Dátum vyhotovenia: "
"Due Date: ","Dátum splatnosti: "
"Taxable supply: ","Vznik daň. povinnosti: "
"Invoiced by: ","Vystavil: "
"Taken over by: ","Převzal: "
"Stamp and signature","Podpis a pečiatka"
"Shipping","Poštovné a balné"
"Total","Súčet položiek"
"Rounding","Centové vyrovnanie"
"Total to pay","Celkom k úhrade"

"Total to pay in %s","Celkom k úhrade v mene %s"

"Tax/VAT Number","DIČ"
"I.N.","IČ" 

"Grand Total (Excl. Tax)","Celková suma bez DPH"
"Grand Total (Incl. Tax)","Celková suma s DPH"
"Tax","DPH"

"Invoiced by","Vystavil"
"Note","Poznámka"
"Stamp","Razítko"
"Stamp size","Rozměry razítka"
"Images with dimensions larger than 10cm will be proportionally reduced.","Obrázky s rozměry většími než 10cm budou proporcionálně zmenšeny."
"Credit Memo # ","Dobropis č. "
"Invoice # ","Faktura č. "
"Credit memo for invoice","Dobropis k faktúre"
"Credit memo for invoice # ","Dobropis k faktúre č. "
