"Action","Akcia"
"Add Sitemap","Pridať mapu stránok"
"Always","Vždy"
"CMS Pages Options","CMS Možnosti"
"Categories Options","Nastavenie kategórií"
"Daily","Denne"
"Edit Sitemap","Upraviť mapu stránok"
"Enabled","Povolené"
"Error Email Recipient","Chyba E-mailového príjemcu"
"Error Email Sender","Chyba E-mailového odosielateľa"
"Error Email Template","Chyba v emailovej šablóne"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Súbor ""%s"" nemohol byť uložený. Prosím uistite sa, že adresár ""%s"" je zapisovateľný webserverom."
"Filename","Meno súboru"
"Frequency","Frekvencia"
"Generate","Generovať"
"Generation Settings","Nastavenia generovania"
"Google Sitemap","Google Sitemap"
"Hourly","Každú hodinu"
"ID","ID"
"Last Time Generated","Naposledy generované"
"Link for Google","Odkaz pre Google"
"Monthly","Mesačne"
"Never","Nikdy"
"New Sitemap","Nová mapa stránok"
"Path","Cesta"
"Please create the specified folder ""%s"" before saving the sitemap.","Prosím vytvorte adresár ""%s"" pred uložením mapy stránok."
"Please define correct path","Prosím zadajte platnú cestu"
"Please make sure that ""%s"" is writable by web-server.","Prosím uistite sa, že ""%s"" je zapisovateľný webserverom."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Používajte prosím len písmená (a-z alebo A-Z), čísla (0-9) alebo znak podčiarknutia (_) v menách. Medzery a ostatné znaky nie sú povolené."
"Priority","Priorita"
"Products Options","Možnosti produktu"
"Sitemap","Mapa stránok"
"Sitemap generate Warnings","Varovanie pri generovaní mapy stránok"
"Start Time","Čas začatia"
"Store View","Zobrazenie obchodu"
"The priority must be between 0 and 1.","Priorita musí byť v hodnotách medzi 0 až 1."
"The sitemap ""%s"" has been generated.","Mapa stránok ""%s"" bola vygenerovaná."
"The sitemap has been deleted.","Mapa stránok bola zmazaná."
"The sitemap has been saved.","Mapa stránok bola uložená."
"This sitemap no longer exists.","Mapa stránok už neexistuje."
"Unable to find a sitemap to delete.","Nenájdená mapa stránok k zmazaniu."
"Unable to find a sitemap to generate.","Nenájdená mapa stránok pre vygenerovanie."
"Unable to generate the sitemap.","Nemožno vygenerovať mapu stránok."
"Valid values range: from 0.0 to 1.0.","Platný rozsah hodnôt je: od 0.0 do 1.0."
"Weekly","Týždenne"
"Yearly","Ročne"
