"# of Use","# počet použití"
"%1$s incl tax.","%1$s s daňou."
"%s - %s","%s - %s"
"%s and above","%s a viac"
"%s Item(s)","položiek: %s"
"(%d)","(%d)"
"(Copy data from: %s)","(Kopírovať údaje z: %s)"
"(Will make search for the query above return results for this search.)","(Vytvorí vyhľadávanie, ktoré vráti výsledky vyššie uvedeného zadania.)"
"* Required Fields","* Povinné pole"
"-- Please Select --","-- Vyberte prosím --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","Východzia hodnota, pokiaľ nie je vyplnené je 86400. Ak chcete aktualizovat okamžite, dajte vymazať cache blokov HTML."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Pozor!</strong> Použitie MAP v základnom nastavení bude skrývať všetky ceny produktov.."
"A group with the same name already exists.","Skupina s rovnakým názvom už existuje."
"A name is required","Je požadované meno"
"A product type is not defined for the indexer.","Typ produktu nie je definovaný pre indexer."
"ALL GROUPS","VŠETKY SKUPINY"
"AM","Dop."
"Action","Udalosť"
"Actual Price","Aktuálna cena"
"Add Attribute","Pridať vlastnosť"
"Add Design Change","Pridat zmenu vzhľadu"
"Add Group","Pridať skupinu"
"Add New","Pridať nové"
"Add New Attribute","Pridať novú vlastnosť"
"Add New Attribute Set","Pridať novú množinu vlastností"
"Add New Group","Pridať novú skupinu"
"Add New Images","Pridať nové obrázky"
"Add New Option","Pridať novú možnost"
"Add New Row","Pridať nový riadok"
"Add New Search Term","Pridať nový výraz hľadania"
"Add New Set","Pridať novú množinu"
"Add Product","Pridať produkt"
"Add Product To Websites","Pridať produkt na stránky"
"Add Root Category","Pridať novú hlavnú kategóriu"
"Add Subcategory","Pridať podkategóriu"
"Add Tax","Pridať daň"
"Add Tier","Pridať zľavu"
"Add to Cart","Do košíka"
"Add to Compare","Pridať pre porovnanie"
"Add to Wishlist","Pridať do zoznamu prianí"
"Additional Information","Ďalšie informácie"
"Alert Urls","Varovanie url"
"All","Všetko"
"All Product Types","Všetky typy produktov"
"All Websites","Všetky stránky"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Všetky produkty z tejto množiny budú zmazané! Ste si istí, že chcete zmazať túto množinu atribútov?"
"Allow All Products per Page","Dovoliť všetky produkty na stránku"
"Allow Dynamic Media URLs in Products and Categories","Povoliť Dynamic Media URL v produktoch a kategóriách"
"Allow HTML Tags on Frontend","Povoliť HTML značky v obchode"
"Allowed File Extensions","Povolené prípony súboru"
"Allowed file extensions to upload","Povolené prípony súboru pre nahrávanie"
"An error occurred while adding products to websites.","Chyba pri pridávaní produktov."
"An error occurred while clearing comparison list.","Chyba pri mazaní zoznamu porovnaní."
