"%s codes deleted","zmazané kódy: %s"
"%s codes imported","kódov importovaných: %s"
"%s codes not imported","neimportovaných kódov: %s"
"%s product in feed.","počet produktov zahrnutých do feedu: %s"
"%s product not in feed.","%s produktov nezahrnutých do feedu."
"Add new","Pridať nový"
"Attrib. Set Name","Nastavenie mena atributu"
"Attributes map","Mapa atribútov"
"Cron Frequency","Frekvencia cronu"
"Cron Hour","Hodina cronu"
"Delete","Zmazať"
"Eav code","Eav kód"
"FTP Password","FTP heslo"
"FTP Path","FTP Cesta"
"FTP Server","FTP Server"
"FTP Settings","FTP Nastavenia"
"FTP User","FTP užívateľ"
"FTP: Can't delete files","FTP: Nie je možné odstrániť súbory"
"Feed","Feed"
"Feed code","Kód feedu"
"ID","ID"
"Import","Import"
"Import attribute map","Importovať mapu atribútov"
"Import code","Importovať kód"
"In feed","Vo feedu"
"In order to access your FTP account information, you must first register and verify your store in TheFind Merchant Center.  Click <a href=""https://merchant.thefind.com/mc/claim.fhtml"">here</a> to get started.","Pre prístup k FTP účtu, sa musíte najskôr zaregistrovať a overiť si obchod v TheFind Merchant Center. Kliknite <a href=""https://merchant.thefind.com/mc/claim.fhtml"">tu</a> pre štart."
"Is imported","Je importované"
"Item params","Parametry položky"
"Manage attributes","Správa atribútov"
"Manage items","Správa položiek"
"Not import","Neimportované"
"Not publish","Nepublikované"
"Price","Cena"
"Product Name","Názov produktu"
"Product import","Import produktu"
"Publish","Publikovať"
"SKU","SKU"
"Settings","Nastavenia"
"The Find","Hľadanie"
"TheFind Feed Filename","Názov feedu TheFind"
"TheFind feed","TheFind feed"
"Type","Typ"
"Unable to process an import. ","Nepodarilo sa spracovať import"
"Update TheFind Item when Product is Updated","Aktualizovať položku v TheFind po dokončení úprav produktu"
