" and "," a "
" note that the URLs provided below are the correct values for your current website): ",""
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)",""
"(For US 2-letter state names)","(Pre USA 2-znakové meno štátu)"
"(If left empty will be auto-generated)","(Ak ponecháte prázdne bude vygenerovaný automaticky)"
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)",""
"(Leave empty for first spreadsheet)","(Ponechajte prázdne pre prvý zošit)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produkty budú pridané/upravené do tohto obchodu, ak je stĺpec prázdny alebo chýba v importnom súbore.)"
"(Shift-)Click or drag to change value","(Shift-)Klik alebo ťahaním zmeníte hodnotu"
"(Starting with)","(Počínajúc)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Ak 'Nie', importujú sa iba priradené polia. Ak priraďujete poľe, použite 'stĺpec1', 'stĺpec2', atď.)"
"(You have to increase php memory_limit before changing this value)","(Musíte zdvihnúť php memory_limit ako zmeníte túto hodnotu)"
"(\\t for tab)","(\ pre tabulátor)"
"- Click on any of the time parts to increase it","- Kliknutím na niektorú z častí sa jej počet zvýši"
"- Hold mouse button on any of the above buttons for faster selection.","- Držte tlačidlo myši nad niektorým z vyššie uvedených tlačidiel pre rýchlejší výber."
"- Use the %s buttons to select month","- Použite %s pre výber mesiaca"
"- Use the %s, %s buttons to select year","- Použite %s, %s pre výber roku"
"- or Shift-click to decrease it","- Alebo Shift-klik pre zníženie"
"- or click and drag for faster selection.","- Alebo klik a ťahanie pre rýchle označenie."
"-- Please Select Billing Agreement--","-- Prosím vyberte platobné podmienky(Billing Agreement)--"
"10:40 AM","10:40 AM"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"ASCII","ASCII"
"About the calendar","O kalendári"
"Access denied.","Prístup zamietnutý."
"Account Created in:","Účet vytvorený v:"
"Account Created on (%s):","Účet vytvorený v (%s):"
"Account Created on:","Účet vytvorený v:"
"Action","Udalosť"
"Actions","Udalosti"
"Activate","Aktivovať"
"Add Contents Path","Pridať obsah Cesta"
"Add Field with URL:","Pridať pole s URL:"
"Add New Role","Pridať novú Rolu"
"Add New User","Pridať nového užívateľa"
"Add PHP Extension dependency","Pridať závislosti PHP rozšírenia"
"Add Package dependency","Pridať závislosti balíčkov"
"Add to Cart","Pridať do košíka"
"Add to Wishlist","Pridať do zoznamu prianí"
"Address Type:","Typ adresy:"
"AirMail Template Preview","Náhľad šablóny AirMail"
"All","Všetko"
"All Websites","Všetky webstranky"
"All fields","Všetky polia"
"All locations","Všetky lokality"
"Archive file name:","Meno zálohy:"
"Are you sure that you want to delete this template?","Ste si istý, že chcete zmazať túto šablónu?"
"Are you sure that you want to strip tags?","Ste si istý, že chcete odstrániť štítky?"
"Are you sure you want to delete this theme? This change will affect all applications.",""
"As low as:","len"
"Attribute Set Name:","Názov množiny vlastností:"
"Attributes","Vlastnosti"
"Authors","Autori"
"Available Products","Dostupné produkty"
"BINARY","BINÁRNY"
"Back","Naspäť"
"Big Image","Veľký obrázok"
"Billing Address","Fakturačná adresa"
"Billing Agreement","platobné podmienky(Billing Agreement)"
"Bundle Items","Položky balenia"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Balenie s dynamickou cenou nesmie obsahovať vlastné definované možnosti. Nastavenie nebolo uložené."
"CSV / Tab separated","CSV / Oddelená tabuľka"
"Cancel","Zrušiť"
"Cancel URL: ",""
"Card Verification Number","Overovacie číslo karty (CCV)"
"Carrier",""
"Catalog","Katalóg"
"Chairs","Stoličky"
"Change Orientation","Zmeniť orientáciu"
"Channel","Kanál"
"Child Transactions","Child Transakcie"
"Choose Store View","Vyberte pohľad na obchod"
"Choose a selection...",""
"Clear","Vymazať"
"Client Session Timeout (sec.)","Session klienta vyprší za (sec.)"
"Close","Zavrieť"
"Confirmed email:","Potvrdzujúci email:"
"Connect with the Magento Community","Spojenie s komunitou Magento"
"Contents","Obsah"
"Continue","Pokračovať"
"Country:","Krajina:"
"Created At","Vytvorené na"
"Credit Card %s","Kreditná karta %s"
"Credit Card Number","Číslo platobnej karty"
"Credit Card Number: xxxx-%s","Číslo platobnej karty: xxxx-%s"
"Credit Card Type","Typ platobnej karty"
"Credit Card Type: %s","Typ platobnej karty: %s"
"Credit Memo History","História dobropisov"
"Credit Memo Totals","Dobropisy celkom"
"Current Configuration Scope:","Aktuálny rozsah nastavenia:"
"Custom","Užívateľský"
"Customer","Zákazník"
"Customer Group:","Zákaznícka slupina:"
"Customer Since:","Zákazníkom od:"
"Customers","Zákazníci"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Dashboard","Nástenka"
"Data Format","Formát dát"
"Data transfer:","Prenos dát:"
"Date selection:","Výber dátumu:"
"Date selector","Voľba dátumu"
"Decimal separator:","Desatinný oddeľovač:"
"Default (Admin) Values","Predvolené (Admin) hodnoty"
"Default Billing Address","Predvolená fakturačná adresa"
"Default Response Charset","Predvolená znaková sadá odpovede"
"Default Values","Predvolené hodnoty"
"Delete","Zmazať"
"Delete theme","Vymazať tému"
"Deselect All","Odznačiť všetko"
"Direction:","Smer:"
"Display %s first","Zobraziť prvých %s"
"Distributed under GNU LGPL. See %s for details.","Distribuované pod GNU LGPL. Pre detaily sa pozrite na %s."
"Do not enable AVS or CSC options.  The do not work when using Payflow Link Silent Mode.",""
"Do not set any fields in the Billing and Shipping Information block as editable in your Payflow accout.",""
"Drag to move","Uchopiť pre presun"
"Edit Filter","Upraviť filter"
"Edit Role","Upraviť Rolu"
"Edit User '%s'","Upraviť užívateľa '%s'"
"Email","E-mail"
"Email Preview","Náhľad e-mailu"
"Email:","E-mail:"
"Enable Secure Token:",""
"Enclose Values In:","Hodnoty uzavreté v:"
"Entity Attributes",""
"Entity type:","Typ entity:"
"Excl. Tax","Bez dane"
"Expiration Date","Dátum expirácie"
"Expiration Date: %s/%s","Dátum expirácie: %s/%s"
"Export","Export"
"Export Filters","Filtre exportu"
"Export to:","Exportovať do:"
"Export:","Export:"
"Extension","Rozšírenie"
"Extensions","Rozšírenia"
"FILTERS APPLIED",""
"FTP Host[:Port]","FTP Host[:Port]"
"Field Mapping","Priradenie poľa"
"File Information","Informácie o súbore"
"File mode",""
"File name:","Názov súboru:"
"Files","Súbory"
"Finished profile execution.",""
"First Name:","Meno:"
"For latest version visit: %s","Pre poslednú verziu navštívte: %s"
"From","Od"
"General Information","Všeobecné informácie"
"General Settings","Všeobecné nastavenia"
"Get help for this page","Nápoveda pre túto stránku"
"Global Record Search","Globálne vyhľadávanie záznamu"
"Go Today","Prejsť na dnešok"
"Go to messages inbox",""
"Go to notifications",""
"Google Base Items","Položky Google Base"
"Group:","Skupina:"
"Help Us Keep Magento Healthy - Report All Bugs","Pomôžte nám udržať Magento bez chýb - Nahláste všetky chyby"
"Home",""
"If your Magento instance is used for multiple websites, you must configure a separate Payflow Link account for each website.",""
"Ignore","Ignorovať"
"Images","Obrázky"
"Import","Import"
"Import Service","Služba Import"
"Important: ","Dôležité:"
"In Database:","V databáze:"
"In File:","V súbore:"
"In Stock","Na sklade"
"Inactive Tabs","Neaktívne záložky"
"Incl. Tax","S daňou"
"Include","Obsahuje"
"Interactive","Interaktivny"
"Interface Locale: %s","Rozhranie v jazyku: %s"
"Invalid webservice adapter specified.","Chybne zvolený adaptér webovej služby."
"Invalid webservice handler specified.","Chybne vybraný ukazovateľ webovej služby."
"Invoice History","História faktúr"
"Invoice Totals","Faktúry celkom"
"Is Closed","Je uzatvorená"
"Issue Number","Problém číslo"
"Issuer: %s","Vydavateľ: %s"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","JavaScript/CSS Cache"
"Last 5 Orders","Posledných 5 objednávok"
"Last 5 Search Terms","5 naposledy hľadaných výrazov"
"Last Logged In (%s):","Naposledy prihlásený v (%s):"
"Last Logged In:","Naposledy prihlásený:"
"Last Name:","Priezvisko:"
"Latest Message:","Posledná správa:"
"Leave empty to use tax identifier","Ponechajte prázdne pre použitie DIČ"
"Links with associated products will retain only after saving current product.","Odkazy na súvisiace produkty sa zachovajú iba po uložení aktuálneho produktu."
"Loading Preview...","Načítavam náhľad..."
"Loading...","Nahrávám..."
"Local Server","Lokálny server"
"Local/Remote Server","Lokálny / vzdialený server"
"Log In","Prihlásiť"
"Log Out","Odhlásiť"
"Logged in as %s","Prihlásený ako %s"
"MS Excel XML","MS Excel XML"
"Magento Core API","Magento Core API"
"Magento Core API Section","Magento Core API Section"
"Magento Logo","Magento Logo"
"Magento ver. %s","Magento ver. %s"
"Magento&trade; is a trademark of Magento Inc.<br/>Copyright &copy; %s Magento Inc.","Magento je obchodná známkou Magento Inc. <br/>Copyright &copy; %s Magento Inc."
"Main Tabs",""
"Make Inactive","Deaktivovať"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Uistite sa, že kódovanie dát v súbore je konzistentné a uložené v jednom z podporovaných kódovaní (UTF-8 alebo ANSI)."
"Make sure that you configure the design settings for the Payflow Link form in your Payflow link account.",""
"Manage Stores","Spravovať obchody"
"Max","Max"
"Min","Min"
"More Tabs","Viac záložiek"
"N/A","nedefinované"
"Name","Meno"
"Name on Card","Meno na karte"
"Name on the Card: %s","Meno na karte: %s"
"Name:","Meno:"
"Next month (hold for menu)","Nasledujúci mesiac (podržte pre menu)"
"Next page","Ďalšia strana"
"Next year (hold for menu)","Nasledujúci rok (podržte pre menu)"
"No","Nie"
"No Data Found","Neboli nájdené žiadne dáta"
"No information available.","Údaje nie sú k dispozícii."
"No profile loaded...",""
"No search keywords.","Nenájdené kľúčové slovo."
"None","Žiaden"
"Note:","Poznámka:"
"Number of records:","Počet záznamov:"
"Old rate:","Stará sadzba:"
"On my website","Na mojej stránke"
"Once you log into your Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below",""
"Only custom theme can be deleted","Len voliteľná téma môže byť vymazaná"
"Only default theme can be reset","Len štandardná téma môže byť resetovaná"
"Only mapped fields","Iba priradené polia"
"Options menu items",""
"Order ID","ID objednávky"
"Order cannot be placed.","Objednávka nemôže byť zadaná."
"Original Magento attribute names in first row:","Pôvodné mená atribútov Magento v prvom riadku:"
"Out of stock","Vypredané"
"Package","Balíček"
"Packages","Balíčky"
"Page","Stránka"
"Parent Transaction ID","Parent Transaction ID"
"Passive mode","Pasívny mód"
"Password","Heslo"
"Path","Cesta"
"Path:","Cesta:"
"Personal Information","Osobné informácie"
"Phone:","Telefón:"
"Please Select","Vyberte prosím"
"Please confirm site switching. All data that hasn't been saved will be lost.","Potvrďte zmenu stránok. Všetky neuložené údaje sa stratia."
"Please continue with placing order.","Prosím pokračujte v odoslaní objednávky."
"Please enter 6 or more characters.","Zadajte prosím 6 alebo viac znakov."
"Please enter a number greater than 0 in this field.","Do tohto poľa prosím vložte číslo väčšie ako 0."
"Please enter a valid $ amount. For example $100.00.","Zadajte prosím platný obnos $. Napríklad $100,00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Zadajte prosím platnú URL. Napríklad http://www.example.com nebo www.example.com"
"Please enter a valid URL. http:// is required","Zadajte prosím platnú URL. http:// je povinné."
"Please enter a valid credit card number.","Zadajte prosím platné číslo kreditnej karty."
"Please enter a valid date.","Zadajte prosím platný dátum."
"Please enter a valid email address. For example johndoe@domain.com.","Zadajte prosím platnú emailovú adresu. Napríklad johndoe@domain.com."
"Please enter a valid number in this field.","Zadajte prosím do tohto poľa platné číslo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Zadajte prosím platné telefónne číslo. Napríklad (123) 456-7890 alebo 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Zadajte prosím platné číslo sociálneho poistenia. Napríklad 123-45-6789."
"Please enter a valid value from list","Zadajte prosím platnú hodnotu zo zoznamu"
"Please enter a valid value, ex: 10,20,30","Zadajte prosím platnú hodnotu. Napríklad: 10, 20, 30"
"Please enter a valid zip code.","Zadajte prosím platné PSČ."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Zadajte prosím platné PSČ. Napríklad 10000."
"Please enter another credit card number to complete your purchase.","Prosím vložte ďalšie číslo kreditnej karty pre dokončenie Vášho nákupu."
"Please enter valid password.","Zadajte prosím platné heslo."
