"* Required Fields","* Povinné položky"
"-- Select --","-- Vyberte --"
"Add New Option","Pridať novú možnosť"
"Add Selection","Pridať výber"
"As Low as","Už od"
"As low as","Už od"
"Bundle Items","Zväzkové položky"
"Bundle Product","Zväzkový produkt"
"Buy %1$s with %2$s discount each","Kúpte %1$ so zľavou %2$ na každom"
"Catalog Product View (Bundle)","Zobrazenie produktov v katalógu (balíčkov)"
"Checkbox","zaškrtávacie políčko"
"Choose a selection...","Vyberte možnosť ..."
"Close","Zavrieť"
"Default","Predvolené"
"Default Qty","Predvolené množstvo"
"Default Title","Predvolený nadpis"
"Drop-down","rozbaľovací zoznam"
"Dynamic","Dynamické"
"Excl. Tax","Bez dane"
"Fixed","Pevné"
"From","Od"
"From:","Od:"
"Gift Message","Prianie"
"Incl. Tax","S daňou"
"Input Type","Vstupný typ"
"Is Required","Je vyžadované"
"Message:","Zpráva:"
"Multiple Select","Viacnásobný výber (označenie)"
"N/A","nedefinované"
"No options of this product are available.","Tento produkt nemá žiadne dostupné možnosti."
"None","Žiadne"
"Percent","Percent"
"Percent Discount","Percentuálna zľava"
"Please Select Products to Add","Vyberte produkt na pridanie"
"Please enter search conditions to view products.","Zadajte vyhľadávacie pravidlá pre zobrazenie produktov."
"Please select options for product.","Vyberte možnosti pre produkt."
"Please specify product option(s).","Špecifikujte možnosti produktu."
"Position","Pozícia"
"Price Range","Cenový rozsah"
"Price Type","Typ ceny"
"Price as configured","Cena podľa konfigurácie"
"Qty:","Množstvo:"
"Radio Buttons","Prepínače"
"Required options are not selected.","Požadovaná voľba nie je označená."
"Selected required options are not available.","Vybrané požadované voľby nie sú k dispozícii."
"Separately","Oddelene"
"Ship Bundle Items","Doručenie položiek balenia."
"Shipment","Zásielka"
"Store View Title","Nadpis zobrazenia obchodu"
"There is no defined renderer for ""%s"" option type.","Nie je definované zobrazenie(renderer) pre tento typ možnosti (%s)."
"This product is also part of bundle(s)","Tento produkt je tiež súčasťou balenia"
"To","Pre"
"To:","Pre:"
"Together","Spolu"
"Use Default Value","Použiť predvolenú hodnotu"
"User Defined Qty","Užívateľom definované množstvo"
