"%s %s cycle.","%s %s perióda."
"--Please Select--","-- Prosím vyberte --"
"3D Secure Card Validation","Bezpečnostné 3D overenie platobnej karty"
"3D Secure Credit Card Validation","Bezpečnostné 3D overenie platobnej karty"
"<label>Make Check payable to:</label> %s","<label>Vyrobiť šek splatný pre</label>: %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Hodnota je povinná pre live mód. Nahliadnite do Vašej CardinalCommerce dohody."
"Allow Initial Fee Failure","Povoliť počiatočný poplatok zlyhania"
"An internal reference ID is required to save the payment profile.","Interné referenčné ID je požadované uložiť do platobného profilu."
"Auto Bill on Next Cycle","Automatický účet na ďalší cyklus"
"Automatically Invoice All Items","Vyfakturovať automaticky všetky položky"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Automaticky účtovať zostatok v ďalšom fakturačnom cykle (ak tam boli neúspešné platby)."
"Billing Agreement status is not set.","Fakturačné podmienky(Billing Agreement) - stav nie je nastavený."
"Billing Amount","Výška fakturácie"
"Billing Frequency","Cyklus účtovania"
"Billing Period","Zúčtovacie obdobie"
"Billing Period Unit","Jednotka zúčtovacieho obdobia"
"Billing period unit is not defined or wrong.","Zúčtovacie obdobie nie je definované alebo je chybné."
"Cannot retrieve payment method instance.","Nie je možné získať inštanciu modelu platby."
"Cannot retrieve the payment info model object.","Nie je možné získať informácie z modelu objektu platby."
"Cannot retrieve the payment method model object.","Nie je možné získať metódy z modelu objektu platby."
"Card Verification Number","Overovacie číslo kreditnej karty"
"Centinel API URL","Centinel API URL"
"Check / Money Order","Šek / Platba hotovosťou"
"Credit Card Number","Číslo kreditnej karty"
"Credit Card Number: xxxx-%s","Číslo kreditnej karty: xxxx-%s"
"Credit Card Type","Typ kreditnej karty"
"Credit Card Type: %s","Typ kreditnej karty: %s"
"Credit Card Types","Typy kreditnej karty"
"Currency","Mena"
"Currency code is undefined.","Kód meny nie je definovaný."
"Customer ID is not set.","ID zákazníka nie je nastavené."
"Day","Deň"
"Debug Mode","Debug Mode"
"Enabled","Povolené"
"Expiration Date","Dátum vypršania platnosti"
"Expiration Date: %s/%s","Dátum vypršania platnosti: %s/%s"
"Full name of the person receiving the product or service paid for by the recurring payment.","Celé meno osoby, ktorá prijíma produkt alebo platené služby pre opakované platby."
"Initial Fee","Počiatočný poplatok"
"Initial non-recurring payment amount due immediately upon profile creation.","Prvotná jednorázová platba obdržateľná okamžite na vytvorenie profilu."
"Internal Reference ID","Interné referenčné ID"
"Issue Number","Číslo požiadavky"
"Make Check Payable to","Vytvoriť šek splatný pre"
"Make Check payable to:","Vytvoriť šek splatný pre:"
"Make Check payable to: %s","Vytvoriť šek splatný pre: %s"
"Maximum Billing Cycles","Maximálne fakturačných cyklov"
"Maximum Order Total","Maximálna objednávka"
