"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s bol úspešné pridaný do zoznamu prianí. Pre pokračovanie v nákupe kliknite <a href=""%2$s"">tu</a>"
"%1$s has been added to your wishlist.","%1$s bol úspešné pridaný do zoznamu prianí."
"%1$s has been moved to your wishlist. Zoznam prianí","%1$s bol úspešné presunutý do zoznamu prianí." 
"%1$s has been updated in your wishlist.","%1%s boli aktualizované vo Vašom zozname prianí."
"%d product(s) have been added to shopping cart: %s.","%d produktov bolo pridaných do košíka: %s."
"%s for ""%s"".","%s pre ""%s""."
"%s's Wishlist","Zoznam prianí zákazníka %s"
"* Required Fields","* Povinne vyplnené polia"
"Add All to Cart","Vložiť všetko do košíka"
"Add to Cart","Vložiť do košíka"
"Add to Compare","Porovnať"
"Add to Wishlist","Pridať do Zoznamu prianí"
"Added From","Pridať od"
"Added On","Pridané"
"An error occurred while adding item to wishlist.","Vyskytla sa chyba pri pridávaní položky do zoznamu prianí."
"An error occurred while adding item to wishlist: %s","Vyskytla sa chyba pri pridávaní položky do zoznamu prianí: %s"
"An error occurred while deleting the item from wishlist.","Vyskytla sa chyba pri mazaní položky zo zoznamu prianí."
"An error occurred while deleting the item from wishlist: %s","Vyskytla sa chyba pri mazaní položky zo zoznamu prianí: %s"
"An error occurred while updating wishlist.","Vyskytla sa chyba pri aktualizácii zoznamu prianí."
"Are you sure you want to remove this product from your wishlist?","Určite chcete tento produkt odstrániť z Vášho zoznamu prianí?"
"Are you sure you would like to remove this item from the wishlist?","Určite chcete túto položku odstrániť z Vášho zoznamu želaní?"
"Back","Späť"
"Can't delete item from wishlist","Nie je možne zmazať položku zo zoznamu prianí"
"Can't save description %s","Nie je možné uložiť popis %s"
"Can't update wishlist","Nie je možné aktualizovať zoznam prianí"
"Cannot add item to shopping cart","Položku nie je možné pridať do košíka"
"Cannot add the item to shopping cart.","Položku nie je možné pridať do košíka."
"Cannot configure product",""
"Cannot create wishlist.","Zoznam prianí sa nedá vytvoriť."
"Cannot load wishlist item","Nie je možne načítať zoznam prianí"
"Cannot specify product.","Nie je možné špecifikovať produkt."
"Cannot specify wishlist item.","Nie je možné špecifikovať zoznam prianí."
"Cannot specify wishlist.","Nie je možné špecifikovať zoznam prianí."
"Cannot update wishlist","Nie je možné aktualizovať zoznam prianí."
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Zaškrtnite túto možnosť ak chcete pridať odkaz do vášho rss kanála zoznamu želaní."
"Click for price","Kliknite pre zobrazenie ceny"
"Comment","Komentár"
"Comment:","Komentár:"
"Configure Wishlist Item","Nastavenie položiek zoznamu prianí"
"Configured Price:","Konfigurovateľná cena:"
"Customer My Account My Wishlist","Môj zoznam prianí"
"Customer My Account Wishlist Sharing Form","Zoznam prianí zdieľaný od"
"Customer Shared Wishlist View","Zobraziť zoznam zdieľaných prianí"
"Date Added","Dátum pridania"
"Days in Wishlist","Dní v zozname prianí"
"Display Wishlist Summary","Zobraziť sumár zoznamu prianí"
"Edit","Upraviť"
"Email Sender","Odosielateľ e-mailu"
"Email Template","Šablóna e-mailu"
"Email address can't be empty.","Emailová adresa nesmie byť prázdna."
"Email addresses, separated by commas","E-mailové adresy, oddelené čiarkou"
"Enabled","Povolené"
