"Social Networks","Sociální sítě"
"Likebox enabled","Povolit likebox"
"Likebox code","Kód pro likebox"
"Facebook Comments","Facebook komentáře"
"Comments enabled","Povolit komentáře"
"Admin Facebook ID","Facebook ID administrátora"		
"Comments to show","Počet zobrazených příspěvků"	
"Comments box width","Šířka boxu pro komentáře"
"Facebook App ID","ID Facebook aplikace"
"OPTIONAL. App for moderating facebook comments can be created at developers.facebook.com","NEPOVINNÉ. Aplikace pro správu příspěvků v diskuzi lze vytvořit na stránce developers.facebook.com"	


