"%s already exist","%s už existuje"
"%s already exists","%s už existují"
"-- Please Select --","-- Prosím vyberte --"
"Add Block Names to Hints","Přidat jméno bloků do nápovědy"
"Add Secret Key to URLs","Přidat bezpečnostní kód do url adres"
"Add Store Code to Urls","Přidat kód obchodu do url"
"Admin","Admin"
"Admin Base URL","Výchozí url pro administraci"
"Admin User Emails","Emaily administrátorů"
"Advanced","Rozšířené"
"Allow countries","Dovolené země"
"Allowed IPs (comma separated)","Povolené IP (oddělené čárkou)"
"Are you sure?","Jste si jisti?"
"Back","Zpět"
"Backup options","Možnosti zálohování"
"Base JavaScript URL","Výchozí URL JavaScriptu"
"Base Link URL","Výchozí URL pro odkazy"
"Base Media URL","Výchozí URL pro média"
"Base Skin URL","Výchozí URL pro vzhled"
"Base URL","Výchozí url"
"Email Address","Emailová adresa"
"Before modifying the store view code please make sure that it is not used in index.php","Před změnou kódu pohledu obchodu se prosím ujistěte, že není použit v index.php"
"Before modifying the website code please make sure that it is not used in index.php","Před změnou kódu stránek se prosím ujistěte, že není použit v index.php"
"Block with name ""%s"" already exists","Blok s názvem ""%s"" už existuje"
"Blocks HTML output","HTML výstup bloku"
"Can't retrieve request object","Nelze získat požadovaný objekt"
"Can't retrieve entity config: %s","Nemohu získat nastavení entity: %s"
"Cancel","Zrušit"
"Cannot Delete Email Template","Šablonu e-mailu nelze smazat"
"Cannot complete this operation from non-admin area.","Tuto operaci nelze dokončit z jiné než admin sekce."
"Category object is required for determining product request path","Kategorie objektu je nutná pro určení cesty výrobku"
"Code","Kód"
"Collections Data","Kolekce dat"
"Configuration","Nastavení"
"Controller file was loaded but class does not exist","Kontrolní soubor byl načten, ale třída neexistuje"
"Cookie Domain","Doména cookie"
"Cookie Lifetime","Životnost Cookie"
"Cookie Path","Cesta Cookie"
"Copyright","Copyright"
"Countries options","Nastavení země"
"Create Store","Vytvořit obchod"
"Create Store View","Nový pohled obchodu"
"Create Website","Vytvořit webové stránky"
"Current package name","jméno balíku"
"Custom Design","Uživatelský Vzhled"
"Custom admin URL","Vlastní url administrace"
"Custom email 1","Vlastní email 1"
"Custom email 2","Vlastní email 2"
"Customer support","Podpora zákazníků"
"Date From","Datum Od"
"Date To","Datum Do"
"Date/time format ""%s"" is not supported.","Formát data/času ""%s"" není podporován."
"Debug","Ladění"
"Default","Výchozí"
"Default Description","Výchozí popis"
"Default Keywords","Výchozí klíčová slova"
"Default Pages","Výchozí stránky"
"Default Robots","Výchozí roboti"
"Default Store","Výchozí Obchod"
"Default Store View","Výchozí pohled obchodu"
"Default Title","Výchozí nadpis"
"Default country","Výchozí země"
"Default no-route url","Výchozí no-route url"
"Default web url","Výchozí url webu"
"Delete","Smazat"
"Delete Store","Smazat obchod"
"Delete Store View","Smazat pohled na obchod"
"Delete Website","Smazat webové stránky"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Smazáním %1$s se nesmažou informace asociované s %1$s (např. produkty, kategorie, atd.), ale %1$s nebude moc být obnoven. Doporučujeme vytvoření zálohy databáze před smazáním %1$s."
"Design","Vzhled"
"Design Change","Změna vzhledu"
"Developer","Vývoj"
"Developer Client Restrictions","Vývojová omezení"
"Disable email communications","Vypnout emailovou komunikaci"
"Disable modules output","Vypnout výstup modulu"
"Duplicate Of Template Code","Zkopírovat z Šablony kódů"
"Edit Design Change","Upravit změnu vzhledu"
"Edit Store","Upravit obchod"
"Edit Store View","Upravit pohled na obchod"
"Edit Website","Upravit webové stránky"
"Empty identifier field name","Prázdný identifikátor pole jméno"
"Empty main table name","Prázdný název hlavní tabulky"
"Enabled","Aktivní"
"Enabled for Admin","Zpřístupnit pro admina"
"Enabled for Frontend","Zpřístupnit v obchodě"
"Error in file: ""%s"" - %s","Chyba v souboru: ""%s"" - %s"
"Error while saving. Please try again later.","Chyba při ukládání. Prosím zkuste to později."
"Error: Passwords do not match","Chyba: Hesla se neshodují"
"Exceptions Log File Name","Jméno souboru pro Log vyjímek"
"First Day of Week","První den týdne"
"Footer","Pata"
"Forgot Password Email Sender","Odesilatel zapomenutého hesla"
"Forgot Password Email Template","Šablona emailu zapomenutého hesla"
"General","Obecné"
"General Settings","Obecné nastavení"
"General contact","Obecný kontakt"
"Global","Globální"
"HTML Head","Hlavička HTML"
"Header","Hlavička"
"Host","Server"
"Id path for specified store","Id cesta pro určitý obchod"
"Incorrect credit card expiration date","Chybné datum konce kreditní karty"
"Invalid base url type","Chybný typ výchozí url"
"Invalid block name to set child %s: %s","Chybné jméno bloku %s: %s"
"Invalid block type: %s","Neplatný typ bloku: %s"
"Invalid block: %s","Neplatný blok: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Neplatný parametr aktualizace rozvržení, očekáván Mage_Core_Model_Layout_Element"
"Invalid layout update handle","Chybná aktualizace rozvržení"
"Invalid messages storage ""%s"" for layout messages initialization","Chybné úložiště zpráv ""%s"" pro inicializaci zpráv rozvržení"
"Invalid transactional email code: ","Chybný kód transakčního emailu: "
"Invalid websites configuration path: %s","Chybně nastavená cesta pro stránky: %s"
"Layout","Rozvržení"
"Layouts","Rozvržení"
"Leave empty for access from any location","Ponechte prázdné pro přístup odkudkoliv"
"Locale","Místo a jazyk"
"Locale options","Vlastnosti místa"
"Log Settings","Nastavení logování"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Záznamy z Mage::log(). Soubor je umístěn v {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Logováno z Mage::logException(). Soubor je umístěn v {{base_dir}}/var/log"
"Logo Image Alt","Alternativní text k obrázku loga"
"Logo Image Src","Zdroj obrázku loga"
"Manage Stores","Spravovat obchody"
"Match expressions in the same order as displayed in the configuration.","Výrazy jsou vyhodnocovány ve stejném pořadí jako jsou zobrazeny v konfiguraci."
"Miscellaneous HTML","Různé HTML"
"Miscellaneous scripts","Různé skripty"
"Model class does not exist: %s","Třída modelu neexistuje: %s"
"Model collection resource name is not defined","Název modelu kolekce zdrojů není definován"
"Module ""%1$s"" can not be depended from ""%2$s""","Modul ""%1$s"" nesmí být závislý na ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Modul ""%1$s"" vyžaduje modul ""%2$s"""
"Name","Jméno"
"New Design Change","Nová změna vzhledu"
"New Store","Nový obchod"
"New Store View","Nový pohled obchodu"
