sku,ean,qty,in_in_stock,availability
5060006,5028804101360,0,0,"dostupnost do 7 dni"
5060001,5028804101285,0,0,"dostupnost do 7 dni"
5060003,5028804101254,0,0,"dostupnost do 7 dni"
5060004,5028804101261,0,0,"dostupnost do 7 dni"
930120,6410329301209,0,0,"dostupnost do 7 dni"
930164,6410329301643,0,0,"dostupnost do 7 dni"
930165,6410329301650,0,0,"dostupnost do 7 dni"
930166,6410329301667,0,0,"dostupnost do 7 dni"
930167,6410329301674,0,0,"dostupnost do 7 dni"
930168,6410329301681,0,0,"dostupnost do 7 dni"
930169,6410329301698,0,0,"dostupnost do 7 dni"
930170,6410329301704,0,0,"dostupnost do 7 dni"
930171,6410329301711,0,0,"dostupnost do 7 dni"
930254,6410329302541,0,0,"dostupnost do 7 dni"
XMASD63SN,,0,0,
PR-335580,8691341335580,-2,0,"dostupnost do 7 dni"
SAC30-13296,729849132962,-1,0,"dostupnost do 7 dni"
PIG19-10761,729849107618,0,0,"dostupnost do 7 dni"
290104-old,8058669290104,-1,0,"dostupnost do 7 dni"
751938,5060189751938,15,1,skladom
751921,5060189751921,16,1,skladom
ADL250,5060180810818,50,1,skladom
010-01041-A2,,0,0,"dostupnost do 7 dni"
304432,3700192304432,2,1,skladom
010-01486-A3,753759145927,0,0,"dostupnost do 3 dni"
1010004,5028804102237,4,1,skladom
1010008,5028804102275,0,0,"dostupnost do 7 dni"
303206,3700192303206,7,1,skladom
303213,3700192303213,10,1,skladom
303183,3700192303183,10,1,skladom
303374,3700192303374,11,1,skladom
MPA00-12657,729849126572,3,1,skladom
MPA00-12658,729849126589,12,1,skladom
301929,3700192301929,1,1,skladom
1010006,5028804102251,4,1,skladom
1010007,5028804102268,5,1,skladom
303961,3700192303961,9,1,skladom
304364,3700192304364,10,1,skladom
010-01486-A4,753759145934,0,0,"dostupnost do 7 dni"
010-01486-A5,8588006377019,0,0,"dostupnost do 3 dni"
010-01635-A1,,0,0,"dostupnost do 3 dni"
TEK-2T-E,729849146181,2,1,skladom
1010017,5028804102367,8,1,skladom
1010018,5028804102374,5,1,skladom
100ML,5011569204223,0,0,"dostupnost do 7 dni"
010-01070-01,753759999407,3,1,skladom
010-01201-01,753759114336,0,0,"dostupnost do 7 dni"
010-01202-01,753759114398,0,0,"dostupnost do 7 dni"
004050,856709004050,8,1,skladom
010-01470-02,753759137243,0,0,"dostupnost do 7 dni"
00107,5028804001073,10,1,skladom
1010002,5028804102213,3,1,skladom
1010003,5028804102220,4,1,skladom
010-01041-A5,8588006377002,0,0,"dostupnost do 3 dni"
010-01041-A3,753759127473,1,1,skladom
010-01041-A4,753759127480,2,1,skladom
110WHITE,5011569204476,2,1,skladom
010-01486-A2,,0,0,"dostupnost do 7 dni"
5080002,5028804101582,14,1,skladom
5080003,5028804101599,9,1,skladom
5080004,5028804101612,3,1,skladom
5080008,5028804101308,127,1,skladom
5080009,5028804101292,11,1,skladom
600077,8586012600077,1,1,skladom
600282,8586012600282,2,1,skladom
601050,8586012601050,2,1,skladom
601081,8586012601081,2,1,skladom
601296,8586012601296,4,1,skladom
601364,8586012601364,4,1,skladom
7000012,8596067000012,0,0,"dostupnost do 7 dni"
7000029,8596067000029,0,0,"dostupnost do 7 dni"
7000036,8596067000036,1,1,skladom
7000081,8596067000081,1,1,skladom
7000104,8596067000104,1,1,skladom
7000111,8596067000111,0,0,"dostupnost do 7 dni"
7000166,8596067000166,0,0,"dostupnost do 7 dni"
7000555,8596067000555,15,1,skladom
7000579,8596067000579,2,1,skladom
