"Latest Tweets","Poslední Tweet-y"
"about","O"
"days ago","před dny"
"hours ago","před hodinami"
"minutes ago","před minutami"
"seconds ago","před sekundami"
"Flickr Stream","Flickr stream"
"Email address","Emailová adresa"
"Join","přidej se"
"Enter your e-mail Address","Vlož svoji emailovou adresu"
"SEARCH","HLEDEJ"
"Cart %s items for %s","Košík %s položky pro %s"
"Cart %s item for %s","Košík %s položka pro %s"
"Shopping Cart","nákupní košík"
"All Categories","Všechny kategorie"
"Catalog Category Search","Vyhledat v katalogu"
"Search","Hledej"
"Search entire store here...","Vyhledej zde ..."
"Select Category On Category Pages","Označ kategorii na stránce kategorií"
"Show Subcategories","Ukaž podkategorie"
"Subcategory Indentation","Odsazení podkategorie"
"Be the First to Know","Buďte mezi prvními"
"Submit","Potvrď"
"You've just added this product to the cart:","Právě jste přidali tento produkt do košíku"

"Go!","OK"
"Don't show this popup again", "Nezobrazovat popup znovu"
"""%s"" is not available in the requested quantity. %s of the items will be backordered.", "&quot;%s&quot; Tento produkt není dostupný v požadovaném množství. %s ks bude v evidenci na došlé objednávce." 
"%s has been moved to wishlist %s, "%s Byla přesunuta do seznamu oblíbených %s"
"Please select all parameters.","Je nutné zvolit všechny parametry."
"Add to cart","Do košíku"
"Only %s left", "Pouze %s kusů zbývá"
"Sort By:","Seřadit podle:"
"Added By","Přidáno"
"Share this post","Sdílej tento článek"
"Filter","Filtr"
"Quick View","Rychlý náhled"
"Next Product","Další produkt"
"View Cart","Košík"
"Exl. Tax","Bez DPH"
"Incl. Tax","S DPH"
"Clear Shopping Cart","Vyprázdnit košík"
"from","od"
"to","do"
"Login","Přihlášení"
"Name & Address","Jméno a adresa"
"Place Order Now","Objednat"
"Enter your coupon code:","Vložte Váš kód kupónu:"
"Cart Totals","Součet košíku"
"Also Purchased","Taky by vás mohly zaujmout následující produkty"

"Please type the letters below","Opiště prosím text níže."
